file	line	english	verdict	note
Core/CenterM.cs	14	MSI_Center	not-ui	identifier
Core/CenterM.cs	80	SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Uninstall	not-ui	path / uri / registry
Core/CenterM.cs	81	SOFTWARE\\WOW6432Node\\Microsoft\\Windows\\CurrentVersion\\Uninstall	not-ui	path / uri / registry
Core/CenterSettings.cs	46	BorderlessFullscreen	not-ui	registry value name
Core/CenterSettings.cs	61	SquareRomArt	not-ui	registry value name
Core/CenterSettings.cs	75	SteamGridDbApiKey	not-ui	registry value name
Core/CenterSettings.cs	88	RecentReflections	not-ui	registry value name
Core/CenterSettings.cs	103	UserImageFolder	not-ui	registry value name
Core/CenterSettings.cs	117	BackgroundImagePath	not-ui	registry value name
Core/CenterSettings.cs	133	BackgroundSeedVersion	not-ui	registry value name
Core/CenterSettings.cs	146	OpenLibraryAtStartup	not-ui	registry value name
Core/CenterSettings.cs	162	StartCenterWithClawTweaks	not-ui	registry value name
Core/CenterSettings.cs	193	OnboardingPending	not-ui	registry value name
Core/CenterSettings.cs	209	LaunchBehavior	not-ui	registry value name
Core/CenterSettings.cs	245	LibrarySortDescending	not-ui	registry value name
Core/CenterSettings.cs	254	LibraryGrouped	not-ui	registry value name
Core/CenterSettings.cs	260	ImmersiveMode	not-ui	registry value name
Core/CenterSettings.cs	278	DenseLibraryGrid	not-ui	registry value name
Core/CenterSettings.cs	292	LibraryTabs	not-ui	registry value name
Core/CenterSettings.cs	313	StartSteamWithLibrary	not-ui	registry value name
Core/CenterSettings.cs	319	RunInBackground	not-ui	registry value name
Core/CenterSettings.cs	332	InterfaceSounds	not-ui	registry value name
Core/CenterSettings.cs	345	NavigateSound	not-ui	registry value name
Core/CenterSettings.cs	352	BackSound	not-ui	registry value name
Core/CenterSettings.cs	362	BackgroundMusic	not-ui	registry value name
Core/CenterSettings.cs	374	EffectsVolume	not-ui	registry value name
Core/CenterSettings.cs	383	MusicVolume	not-ui	registry value name
Core/CenterSettings.cs	434	DriverCheckIntervalWeeks	not-ui	registry value name
Core/CenterSettings.cs	444	WindowsUpdateCheckIntervalWeeks	not-ui	registry value name
Core/CenterSettings.cs	452	WidgetUpdateNotifyIntervalWeeks	not-ui	registry value name
Core/CenterSettings.cs	482	WidgetNotifyTestBuilds	not-ui	registry value name
Core/CenterSettings.cs	491	DriverCheckLastUtc	not-ui	registry value name
Core/CenterSettings.cs	497	WindowsUpdateCheckLastUtc	not-ui	registry value name
Core/CenterSettings.cs	503	WidgetNotifyLastUtc	not-ui	registry value name
Core/ControllerHealth.cs	44	ClawTweaks_Health_	not-ui	identifier
Core/DeviceDetect.cs	117	SystemSKUNumber	not-ui	identifier
Core/FseHelperStart.cs	33	MSIClaw.ClawTweaks_7eszav2039cvc	log	diagnostics only
Core/FseHelperStart.cs	39	MSIClaw.ClawTweaksCenterFSE_	log	diagnostics only
Core/FseHelperStart.cs	45	helper-start-request.txt	log	diagnostics only
Core/FseHelperStart.cs	68	GamingConfiguration missing	log	diagnostics only
Core/FseHelperStart.cs	124	disabled: the FSE helper start was removed on 2026-09-15 (measured: no effect)	log	diagnostics only
Core/HelperControl.cs	36	XboxGamingBarHelper	not-ui	identifier
Core/HelperControl.cs	90	WindowsPowerShell	not-ui	identifier
Core/HelperControl.cs	211	LocalState	not-ui	identifier
Core/LeaveRunner.cs	194	MsiChargeLimit	not-ui	identifier
Core/LeaveRunner.cs	194	false:90	not-ui	path / uri / registry
Core/LeaveRunner.cs	198	MsiFanControl	not-ui	identifier
Core/MaintenanceRunner.cs	64	FactoryReset	not-ui	identifier
Core/MaintenanceRunner.cs	73	BackupCreate	not-ui	identifier
Core/MaintenanceRunner.cs	84	BackupRestore	not-ui	identifier
Core/Sources/GitHubReleaseSource.cs	46	application/vnd.github+json	not-ui	path / uri / registry
Core/Sources/GoogleDriveSource.cs	45	AIzaSyCnOwAdpy8Z3CFkCp0nNz2SovHyuBPFD2o	not-ui	identifier
Core/ToolDetect.cs	78	SOFTWARE\\Nefarius Software Solutions e.U.\\HidHide	not-ui	path / uri / registry
Core/ToolDetect.cs	182	SOFTWARE\\WOW6432Node\\Unwinder\\RTSS	not-ui	path / uri / registry
Core/ToolDetect.cs	183	SOFTWARE\\Unwinder\\RTSS	not-ui	path / uri / registry
Core/ToolDetect.cs	184	SOFTWARE\\WOW6432Node\\Guru3D\\RTSS	not-ui	path / uri / registry
Core/ToolDetect.cs	185	SOFTWARE\\Guru3D\\RTSS	not-ui	path / uri / registry
Core/ToolDetect.cs	188	InstallDir	not-ui	identifier
Core/WindowsChannelDetect.cs	30	SOFTWARE\\Microsoft\\WindowsSelfHost\\Applicability	not-ui	path / uri / registry
Core/WindowsChannelDetect.cs	39	SOFTWARE\\Microsoft\\WindowsSelfHost\\UI\\Selection	not-ui	path / uri / registry
Library/ClawProfileDetails.cs	81	TDPBoostEnabled	not-ui	identifier
Library/ClawProfileDetails.cs	83	TDPBoostFPPTWatts	not-ui	identifier
Library/ClawProfileDetails.cs	95	CPUMaxFrequencyClass1MHz	not-ui	identifier
Library/ClawProfileDetails.cs	96	CPUMaxFrequencyMHz	not-ui	identifier
Library/ClawProfileDetails.cs	100	MaxCPUStateClass1	not-ui	identifier
Library/ClawProfileDetails.cs	100	MinCPUStateClass1	not-ui	identifier
Library/ClawProfileDetails.cs	102	MaxCPUState	not-ui	identifier
Library/ClawProfileDetails.cs	102	MinCPUState	not-ui	identifier
Library/ClawProfileDetails.cs	105	CPUEPPClass1	not-ui	identifier
Library/ClawProfileDetails.cs	110	RefreshRate	not-ui	identifier
Library/ClawProfileDetails.cs	124	HDREnabled	not-ui	identifier
Library/ClawProfileDetails.cs	140	IntelScalingMode	not-ui	identifier
Library/ClawProfileDetails.cs	147	IntelScalingMethod	not-ui	identifier
Library/ClawProfileDetails.cs	164	FpsCapMode	not-ui	identifier
Library/ClawProfileDetails.cs	167	IntelFpsTier	not-ui	identifier
Library/ClawProfileDetails.cs	172	FPSLimit	not-ui	identifier
Library/ClawProfileDetails.cs	201	Aggressive	not-ui	profile XML element name
Library/ClawProfileDetails.cs	207	CPUBoostMode	not-ui	identifier
Library/ClawProfileDetails.cs	210	CPUBoost	not-ui	identifier
Library/ClawProfileDetails.cs	233	ControllerProfileEnabled	not-ui	identifier
Library/ClawProfileDetails.cs	235	ControllerButtonM1	not-ui	identifier
Library/ClawProfileDetails.cs	236	ControllerButtonM2	not-ui	identifier
Library/ClawProfileDetails.cs	240	ControllerGyroTarget	not-ui	identifier
Library/ClawProfileDetails.cs	243	ControllerLeftStickDeadzone	not-ui	identifier
Library/ClawProfileDetails.cs	243	ControllerRightStickDeadzone	not-ui	identifier
Library/ClawProfileDetails.cs	246	ControllerLeftTriggerStart	not-ui	identifier
Library/ClawProfileDetails.cs	246	ControllerLeftTriggerEnd	not-ui	identifier
Library/ClawProfileDetails.cs	248	ControllerRightTriggerStart	not-ui	identifier
Library/ClawProfileDetails.cs	248	ControllerRightTriggerEnd	not-ui	identifier
Library/ClawProfileDetails.cs	251	ControllerHairTriggers	not-ui	identifier
Library/ClawProfileDetails.cs	252	ControllerNintendoLayout	not-ui	identifier
Library/ClawProfileDetails.cs	252	Nintendo	not-ui	profile XML element name
Library/ClawProfileDetails.cs	254	ControllerVibration	not-ui	identifier
Library/ClawProfileDetails.cs	258	ControllerVibrationIntensity	not-ui	identifier
Library/ClawProfileDetails.cs	290	Type	not-ui	profile XML element name
Library/ClawProfileDetails.cs	302	GamepadAction	not-ui	identifier
Library/ClawProfileDetails.cs	361	PowerSourceSplit	not-ui	identifier
Library/ClawProfiles.cs	183	GameId	not-ui	identifier
Library/EpicSource.cs	24	EpicGamesLauncher	not-ui	identifier
Library/EpicSource.cs	56	AppName	not-ui	identifier
Library/EpicSource.cs	57	MainGameAppName	not-ui	identifier
Library/EpicSource.cs	58	DisplayName	not-ui	identifier
Library/EpicSource.cs	59	InstallLocation	not-ui	identifier
Library/EpicSource.cs	60	CatalogNamespace	not-ui	identifier
Library/EpicSource.cs	61	CatalogItemId	not-ui	identifier
Library/EpicSource.cs	62	LaunchExecutable	not-ui	identifier
Library/OptiClick.cs	36	OptiClickApp	not-ui	identifier
Library/OtherStores.cs	126	UninstallString	not-ui	identifier
Library/OtherStores.cs	151	SOFTWARE\\Ubisoft\\Launcher\\Installs	not-ui	path / uri / registry
Library/OtherStores.cs	214	SOFTWARE\\Origin Games	not-ui	path / uri / registry
Library/OtherStores.cs	482	SOFTWARE\\GOG.com\\Games	not-ui	path / uri / registry
Library/PlayHistory.cs	49	LocalCache	not-ui	identifier
Library/PlayniteEmulators.cs	71	BuiltInConfigId	not-ui	identifier
Library/PlayniteEmulators.cs	74	BuiltinProfiles	not-ui	identifier
Library/PlayniteEmulators.cs	80	BuiltInProfileName	not-ui	identifier
Library/PlayniteEmulators.cs	158	StartupExecutable	not-ui	identifier
Library/PlayniteEmulators.cs	159	StartupArguments	not-ui	identifier
Library/PlayniteSource.cs	95	AfterLaunch	not-ui	identifier
Library/PlayniteSource.cs	135	IsInstalled	not-ui	identifier
Library/PlayniteSource.cs	140	CoverImage	not-ui	identifier
Library/PlayniteSource.cs	148	InstallDirectory	not-ui	identifier
Library/PlayniteSource.cs	160	SourceId	not-ui	identifier
Library/PlayniteSource.cs	162	PlatformIds	not-ui	identifier
Library/PlayniteSource.cs	188	LastActivity	not-ui	identifier
Library/PlayniteSource.cs	231	GameActions	not-ui	identifier
Library/PlayniteSource.cs	238	IsPlayAction	not-ui	identifier
Library/PlayniteSource.cs	247	OverrideDefaultArgs	not-ui	identifier
Library/PlayniteSource.cs	249	EmulatorId	not-ui	identifier
Library/PlayniteSource.cs	251	EmulatorProfileId	not-ui	identifier
Library/SteamAchievements.cs	312	UserGameStatsSchema_	not-ui	identifier
Library/SteamAchievements.cs	331	UserGameStats_	not-ui	identifier
Library/SteamFriends.cs	98	SteamClient020	not-ui	identifier
Library/SteamFriends.cs	99	SteamFriends017	not-ui	identifier
Library/SteamFriends.cs	500	SteamAppId	not-ui	identifier
Library/SteamFriends.cs	501	SteamGameId	not-ui	identifier
Library/SteamFriends.cs	506	CreateInterface	not-ui	identifier
Library/SteamOwned.cs	61	packageinfo.vdf	not-ui	path / uri / registry
Library/SteamOwned.cs	64	appinfo.vdf	not-ui	path / uri / registry
Library/SteamPlaytime.cs	62	Software	not-ui	path / uri / registry
Library/SteamPlaytime.cs	187	localconfig.vdf	not-ui	path / uri / registry
Library/SteamSource.cs	106	appmanifest_*.acf	not-ui	path / uri / registry
Library/SteamSource.cs	177	libraryfolders.vdf	not-ui	path / uri / registry
Library/SteamSource.cs	217	StateFlags	not-ui	identifier
Library/SteamSource.cs	263	BytesDownloaded	not-ui	identifier
Library/SteamSource.cs	264	BytesToDownload	not-ui	identifier
Library/SteamSource.cs	271	SizeOnDisk	not-ui	identifier
Library/XboxSource.cs	141	GameSave	not-ui	identifier
MainWindow.xaml.cs	175	Continue	dead	old wizard, MainWindow is never constructed
Navigation/XInputNavigator.cs	163	CenterPadPoll	not-ui	identifier
Phases/FinalizePhase.cs	92	Controller looks clean.	dead	old wizard, MainWindow is never constructed
Phases/FinalizePhase.cs	94	See the Controller step for details.	dead	old wizard, MainWindow is never constructed
Phases/InstallPhase.cs	196	Helper is up.	dead	old wizard, MainWindow is never constructed
Phases/InstallPhase.cs	196	Helper did not appear in time — open the Game Bar (Win+G) manually.	dead	old wizard, MainWindow is never constructed
Phases/ToolsPhase.cs	25	Hides the physical controller so games only see the virtual one — prevents double input.	dead	old wizard, MainWindow is never constructed
Phases/ToolsPhase.cs	26	Kernel driver behind the VIIPER virtual controller. Mandatory for virtual mode.	dead	old wizard, MainWindow is never constructed
Phases/ToolsPhase.cs	27	RivaTuner Statistics Server — powers the FPS limiter and the on-screen overlay.	dead	old wizard, MainWindow is never constructed
Phases/ToolsPhase.cs	28	Kernel driver used for TDP control.	dead	old wizard, MainWindow is never constructed
Phases/ToolsPhase.cs	131	Install them, then press Ⓨ to re-check.	dead	old wizard, MainWindow is never constructed
Phases/ToolsPhase.cs	145	Installed — 	dead	old wizard, MainWindow is never constructed
Shared/Data/ClawHardwareId.cs	136	N/A	not-ui	path / uri / registry
Shared/IPC/HelperHandover.cs	144	HelperPid	not-ui	identifier
Ui/UiStallTrace.cs	110	no GC	log	diagnostics only
Ui/UiStallTrace.cs	164	could not hook the dispatcher: 	log	diagnostics only
Ui/UiStallTrace.cs	181	could not hook the window messages: 	log	diagnostics only
Ui/UiStallTrace.cs	190	display settings changed (Center's own clock)	log	diagnostics only
Ui/UiStallTrace.cs	194	stall witnesses attached (dispatcher operation + window messages)	log	diagnostics only
Ui/UiStallTrace.cs	258	unnamed at 	log	diagnostics only
Ui/UiStallTrace.cs	269	no dispatcher operation in flight	log	diagnostics only
Ui/UiStallTrace.cs	275	no notable window message yet	log	diagnostics only
Ui/UiStallTrace.cs	330	cpu: no interval	log	diagnostics only
Ui/UiStallTrace.cs	341	machine {100.0 * (total - idle) / total:F0}% busy	log	diagnostics only
Ui/UiStallTrace.cs	342	machine load unreadable	log	diagnostics only
Ui/UiStallTrace.cs	347	cpu: unreadable (	log	diagnostics only
Ui/WindowMode.cs	163	no window handle yet	log	diagnostics only
Ui/WindowMode.cs	169	GetWindowRect failed	log	diagnostics only
Ui/WindowMode.cs	175	GetMonitorInfo failed	log	diagnostics only
Ui/WindowMode.cs	193	guard threw: 	log	diagnostics only
Update/VelopackUpdates.cs	58	VelopackUpdates	not-ui	identifier
Update/VelopackUpdates.cs	80	VelopackSilentUpdates	not-ui	identifier
Update/VelopackUpdates.cs	100	VelopackFeedOverride	not-ui	identifier
Update/VelopackUpdates.cs	108	VelopackManifestOverride	not-ui	identifier
App.xaml.cs	67	uninstall window	log	crash log site name
App.xaml.cs	378	device=	log	
Audio/UiSounds.cs	164	Center	not-ui	folder name
CenterMenuWindow.CenterSettings.cs	273	German	not-ui	language picker: English half is deliberately English
CenterMenuWindow.CenterSettings.cs	274	French	not-ui	same
CenterMenuWindow.CenterSettings.cs	275	Korean	not-ui	same
CenterMenuWindow.CenterSettings.cs	276	Spanish	not-ui	same
CenterMenuWindow.CenterSettings.cs	277	Russian	not-ui	same
CenterMenuWindow.CenterSettings.cs	278	Greek	not-ui	same
CenterMenuWindow.CenterSettings.cs	281	Chinese (Simplified)	not-ui	same
CenterMenuWindow.CenterSettings.cs	282	Chinese (Traditional)	not-ui	same
CenterMenuWindow.CenterSettings.cs	283	Italian	not-ui	same
CenterMenuWindow.CenterSettings.cs	284	Portuguese (Brazil)	not-ui	same
CenterMenuWindow.CenterSettings.cs	285	Japanese	not-ui	same
CenterMenuWindow.CenterSettings.cs	286	Polish	not-ui	same
CenterMenuWindow.CenterSettings.cs	287	English	not-ui	same
CenterMenuWindow.Library.cs	4722	no pipe client	log	
CenterMenuWindow.Library.cs	4736	could not reach the helper	log	
CenterMenuWindow.Library.cs	4743	the pipe rejected the write	log	
CenterMenuWindow.Maintenance.cs	150	• The widget's stored profile containers	log	appears in the maintenance log box only
CenterMenuWindow.Tray.cs	65	Closing: staying resident (hiding to tray).	log	
CenterMenuWindow.xaml.cs	3124	center-post-deploy	log	handover reason
Core/BuildDownloader.cs	85	package.msix	not-ui	
Core/BuildDownloader.cs	117	AppxManifest.xml	not-ui	
Core/BuildDownloader.cs	137	User-Agent	not-ui	
Core/CenterInstanceSignal.cs	27	Local\ClawTweaksCenter.SingleInstance	not-ui	pipe / mutex names - a contract with the helper, never rename
Core/CenterInstanceSignal.cs	28	ClawTweaksCenter.Wake	not-ui	pipe / mutex names - a contract with the helper, never rename
Core/CenterInstanceSignal.cs	40	toggle-library	not-ui	pipe / mutex names - a contract with the helper, never rename
Core/CenterM.cs	14	MSI Center	proper-noun	
Core/CenterM.cs	80	SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall	not-ui	registry
Core/CenterM.cs	81	SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall	not-ui	registry
Core/CertInstaller.cs	73	Package	not-ui	
Core/DeviceDetect.cs	61	MSI Claw (A2VM)	proper-noun	device name
Core/DeviceDetect.cs	62	MSI Claw 8 EX AI+ CG3EM	proper-noun	device name
Core/DeviceDetect.cs	66	MSI Claw A1M	proper-noun	device name
Core/DeviceDetect.cs	100	SELECT Vendor, Name FROM Win32_ComputerSystemProduct	not-ui	WMI query
Core/DeviceDetect.cs	105	Vendor	not-ui	WMI column
Core/DeviceDetect.cs	106	Name	not-ui	WMI column
Core/DeviceDetect.cs	112	SELECT SystemSKUNumber FROM Win32_ComputerSystem	not-ui	WMI query
Core/DeviceDetect.cs	123	SELECT Product FROM Win32_BaseBoard	not-ui	WMI query
Core/DeviceDetect.cs	128	Product	not-ui	WMI column
Core/DeviceDetect.cs	134	SELECT Name, Caption FROM Win32_Processor	not-ui	WMI query
Core/DeviceDetect.cs	140	Caption	not-ui	WMI column
Core/ElevationGate.cs	70	No running shell to de-elevate through — starting with this process's token.	log	
Core/HelperControl.cs	35	ClawTweaks\ClawTweaksHelper	not-ui	task name
Core/HelperControl.cs	90	v1.0	not-ui	path
Core/HelperControl.cs	211	Packages	not-ui	path
Core/HelperControl.cs	213	no heartbeat file	log	
Core/HelperControl.cs	221	heartbeat has no pid	log	
Core/HelperControl.cs	223	heartbeat has no timestamp	log	
Core/HelperControl.cs	367	schtasks did not start	log	
Core/HelperPipeClient.cs	97	Timed out waiting for a LIVE helper on the ClawTweaksCenter pipe.	log	
Core/HelperPipeClient.cs	180	Helper pipe dropped — reconnecting (helper may have been swapped by an update).	log	
Core/HelperPipeClient.cs	195	Reconnected to helper after drop.	log	
Core/HelperPipeClient.cs	200	Reconnect window elapsed without a live helper.	log	
Core/Localization.cs	152	Hant	not-ui	script tag
Core/Localization.cs	154	Hans	not-ui	script tag
Core/Localization.cs	208	Deutsch	proper-noun	endonym
Core/Localization.cs	209	Français	proper-noun	endonym
Core/Localization.cs	210	한국어	proper-noun	endonym
Core/Localization.cs	211	Español	proper-noun	endonym
Core/Localization.cs	212	Русский	proper-noun	endonym
Core/Localization.cs	213	Ελληνικά	proper-noun	endonym
Core/Localization.cs	216	简体中文	proper-noun	endonym
Core/Localization.cs	217	繁體中文	proper-noun	endonym
Core/Localization.cs	218	Italiano	proper-noun	endonym
Core/Localization.cs	219	Português (BR)	proper-noun	endonym
Core/Localization.cs	220	日本語	proper-noun	endonym
Core/Localization.cs	221	Polski	proper-noun	endonym
Core/MaintenanceRunner.cs	36	Backups	not-ui	folder name
Core/PackageInstaller.cs	42	Dependencies	not-ui	folder
Core/PackageInstaller.cs	123	registration(s) could not be removed.	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	133	Ok	not-ui	
Core/PackageInstaller.cs	173	appdata-backup	not-ui	folder
Core/PackageInstaller.cs	212	Backed up app data: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	212	file(s)	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	213	could not be read	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	218	Could not back up app data: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	252	Restored app data: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	253	failed (backup kept at 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	257	Could not restore app data: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	267	Removing conflicting registration 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	274	Could not remove 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	309	No existing ClawTweaks registration — clean install.	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	310	Existing registration(s): 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	326	Found a 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	326	non-bundle	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	326	registration while installing a 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	328	Found a registration in state '	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	342	Package family check skipped: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	498	Install error: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/PackageInstaller.cs	507	Install exception: 	log	install log lines (shown in the log box, English on purpose - they are what a bug report carries)
Core/SelfInstaller.cs	59	ClawTweaks Center (Manage Updates and Library)	not-ui	shortcut description / folder / COM progid
Core/SelfInstaller.cs	71	Programs	not-ui	shortcut description / folder / COM progid
Core/SelfInstaller.cs	704	WScript.Shell	not-ui	shortcut description / folder / COM progid
